data,hora,t1,t2,x,y,z
01/08/2011,11:11:16.00,4,7,291478.090,7606717.582,-0.248
01/08/2011,11:11:17.00,4,8,291478.208,7606717.496,-0.336
01/08/2011,11:11:18.00,4,8,291478.285,7606717.422,-0.330
01/08/2011,11:11:19.00,4,8,291478.279,7606717.370,-0.330
01/08/2011,11:11:20.00,4,8,291478.330,7606717.377,-0.333
01/08/2011,11:11:21.00,4,8,291478.401,7606717.359,-0.299
01/08/2011,11:11:22.00,4,8,291478.497,7606717.194,-0.223
01/08/2011,11:11:23.00,4,8,291479.255,7606716.943,-0.093
01/08/2011,11:11:24.00,4,8,291480.387,7606716.672,0.022
01/08/2011,11:11:25.00,4,8,291481.571,7606716.391,0.091
01/08/2011,11:11:26.00,4,8,291482.677,7606716.294,0.197
01/08/2011,11:11:27.00,4,8,291483.704,7606715.951,0.349
01/08/2011,11:11:28.00,4,8,291484.695,7606715.656,0.472
01/08/2011,11:11:29.00,4,8,291485.697,7606715.384,0.564
01/08/2011,11:11:30.00,4,8,291486.700,7606715.065,0.605
01/08/2011,11:11:31.00,4,8,291487.552,7606714.964,0.516
01/08/2011,11:11:32.00,4,8,291487.869,7606714.919,0.412
01/08/2011,11:11:33.00,4,8,291487.955,7606714.942,0.421
01/08/2011,11:11:34.00,4,8,291487.993,7606714.968,0.407
01/08/2011,11:11:35.00,4,8,291488.029,7606714.963,0.426
01/08/2011,11:11:36.00,4,8,291488.694,7606714.786,0.542
01/08/2011,11:11:37.00,4,8,291489.725,7606714.453,0.578
01/08/2011,11:11:38.00,4,8,291490.935,7606714.304,0.566
01/08/2011,11:11:39.00,4,8,291492.085,7606714.035,0.532
01/08/2011,11:11:40.00,4,8,291493.264,7606713.768,0.496
01/08/2011,11:11:41.00,4,8,291494.420,7606713.363,0.448
01/08/2011,11:11:42.00,4,8,291495.653,7606713.009,0.409
01/08/2011,11:11:43.00,4,8,291496.660,7606712.678,0.435
01/08/2011,11:11:44.00,4,8,291497.558,7606712.720,0.419
01/08/2011,11:11:45.00,4,8,291497.964,7606713.157,0.168
01/08/2011,11:11:46.00,4,7,291497.878,7606713.139,0.266
01/08/2011,11:11:47.00,4,7,291497.899,7606713.123,0.263
01/08/2011,11:11:48.00,4,7,291497.935,7606713.215,0.275
01/08/2011,11:11:49.00,4,7,291497.923,7606713.134,0.255
01/08/2011,11:11:50.00,4,8,291497.923,7606713.147,0.264
01/08/2011,11:11:51.00,4,8,291497.923,7606713.134,0.272
01/08/2011,11:11:52.00,4,8,291497.932,7606713.142,0.263
01/08/2011,11:11:53.00,4,8,291497.919,7606713.106,0.198
01/08/2011,11:11:54.00,4,8,291498.064,7606713.127,0.294
01/08/2011,11:11:55.00,4,8,291498.841,7606712.877,0.366
01/08/2011,11:11:56.00,4,8,291499.811,7606712.837,0.375
01/08/2011,11:11:57.00,4,8,291500.960,7606712.744,0.390
01/08/2011,11:11:58.00,4,8,291502.105,7606712.520,0.371
01/08/2011,11:11:59.00,4,8,291503.322,7606712.216,0.370
01/08/2011,11:12:00.00,4,8,291504.585,7606711.997,0.313
01/08/2011,11:12:01.00,4,8,291505.779,7606711.900,0.264
01/08/2011,11:12:02.00,4,8,291506.964,7606711.678,0.172
01/08/2011,11:12:03.00,4,8,291508.066,7606711.464,0.074
01/08/2011,11:12:04.00,4,8,291509.141,7606711.248,-0.041
01/08/2011,11:12:05.00,4,8,291510.262,7606711.039,-0.008
01/08/2011,11:12:06.00,4,8,291511.217,7606710.869,-0.122
01/08/2011,11:12:07.00,4,8,291511.655,7606710.777,-0.215
01/08/2011,11:12:08.00,4,8,291511.495,7606710.748,-0.229
01/08/2011,11:12:09.00,4,8,291511.525,7606710.728,-0.235
01/08/2011,11:12:10.00,4,8,291511.555,7606710.692,-0.240
01/08/2011,11:12:11.00,4,8,291511.598,7606710.651,-0.243
01/08/2011,11:12:12.00,4,8,291512.164,7606710.448,-0.175
01/08/2011,11:12:13.00,4,8,291513.236,7606710.232,-0.214
01/08/2011,11:12:14.00,4,8,291514.463,7606709.992,-0.298
01/08/2011,11:12:15.00,4,8,291515.562,7606709.719,-0.385
01/08/2011,11:12:16.00,4,8,291516.741,7606709.371,-0.463
01/08/2011,11:12:17.00,4,8,291517.924,7606709.161,-0.504
01/08/2011,11:12:18.00,4,8,291518.853,7606709.013,-0.548
01/08/2011,11:12:19.00,4,8,291519.366,7606708.917,-0.658
01/08/2011,11:12:20.00,4,8,291519.564,7606708.884,-0.668
01/08/2011,11:12:21.00,4,8,291519.491,7606708.918,-0.660
01/08/2011,11:12:22.00,4,8,291519.475,7606708.929,-0.662
01/08/2011,11:12:23.00,4,8,291519.473,7606708.931,-0.660
01/08/2011,11:12:24.00,4,8,291519.478,7606708.917,-0.655
01/08/2011,11:12:25.00,4,8,291519.840,7606708.733,-0.537
01/08/2011,11:12:26.00,4,8,291520.915,7606708.311,-0.551
01/08/2011,11:12:27.00,4,8,291521.779,7606707.951,-0.620
01/08/2011,11:12:28.00,4,8,291522.594,7606707.492,-0.745
01/08/2011,11:12:29.00,4,8,291523.188,7606707.301,-0.813
01/08/2011,11:12:30.00,4,8,291523.359,7606707.196,-0.819
01/08/2011,11:12:31.00,4,8,291523.372,7606707.177,-0.824
01/08/2011,11:12:32.00,4,8,291523.393,7606707.204,-0.829
01/08/2011,11:12:33.00,4,8,291523.400,7606707.210,-0.830
01/08/2011,11:12:34.00,4,8,291523.424,7606707.215,-0.814
01/08/2011,11:12:35.00,4,8,291523.475,7606707.193,-0.787
01/08/2011,11:12:36.00,4,7,291523.782,7606707.486,-0.603
01/08/2011,11:12:37.00,4,7,291524.598,7606707.499,-0.858
01/08/2011,11:12:38.00,4,8,291525.350,7606707.366,-0.930
01/08/2011,11:12:39.00,4,8,291526.103,7606707.109,-1.148
01/08/2011,11:12:40.00,4,8,291526.909,7606706.949,-1.355
01/08/2011,11:12:41.00,4,8,291527.774,7606706.853,-1.494
01/08/2011,11:12:42.00,4,8,291528.414,7606706.826,-1.613
01/08/2011,11:12:43.00,4,8,291529.394,7606706.857,-2.159
01/08/2011,11:12:44.00,4,8,291530.837,7606706.914,-2.614
01/08/2011,11:12:45.00,4,8,291532.006,7606706.928,-2.826
01/08/2011,11:12:46.00,4,8,291533.163,7606706.858,-3.000
01/08/2011,11:12:47.00,4,8,291533.835,7606706.762,-3.159
01/08/2011,11:12:48.00,4,8,291533.874,7606706.795,-3.168
01/08/2011,11:12:49.00,4,8,291533.875,7606706.807,-3.175
01/08/2011,11:12:50.00,4,8,291533.901,7606706.798,-3.186
01/08/2011,11:12:51.00,4,8,291533.952,7606706.788,-3.165
01/08/2011,11:12:52.00,4,8,291534.087,7606706.758,-3.110
01/08/2011,11:12:53.00,4,8,291534.891,7606706.608,-3.144
01/08/2011,11:12:54.00,4,8,291535.933,7606706.570,-3.247
01/08/2011,11:12:55.00,4,8,291537.073,7606706.622,-3.345
01/08/2011,11:12:56.00,4,8,291538.441,7606706.647,-3.364
01/08/2011,11:12:57.00,4,8,291539.573,7606706.627,-3.450
01/08/2011,11:12:58.00,4,8,291540.790,7606706.684,-3.483
01/08/2011,11:12:59.00,4,8,291542.042,7606706.753,-3.501
01/08/2011,11:13:00.00,4,8,291543.307,7606706.823,-3.575
01/08/2011,11:13:01.00,4,8,291544.433,7606706.932,-3.660
01/08/2011,11:13:02.00,4,8,291544.897,7606706.912,-3.697
01/08/2011,11:13:03.00,4,8,291544.895,7606706.990,-3.695
01/08/2011,11:13:04.00,4,8,291544.864,7606707.035,-3.698
01/08/2011,11:13:05.00,4,8,291544.852,7606707.008,-3.700
01/08/2011,11:13:06.00,4,8,291544.855,7606707.016,-3.693
01/08/2011,11:13:07.00,4,8,291545.399,7606706.855,-3.629
01/08/2011,11:13:08.00,4,8,291546.462,7606706.791,-3.679
01/08/2011,11:13:09.00,4,8,291547.713,7606706.829,-3.681
01/08/2011,11:13:10.00,4,8,291549.122,7606706.789,-3.689
01/08/2011,11:13:11.00,4,8,291550.518,7606706.819,-3.678
01/08/2011,11:13:12.00,4,8,291551.836,7606706.843,-3.645
01/08/2011,11:13:13.00,4,8,291553.043,7606706.852,-3.599
01/08/2011,11:13:14.00,4,8,291554.269,7606706.844,-3.608
01/08/2011,11:13:15.00,4,8,291555.557,7606706.714,-3.554
01/08/2011,11:13:16.00,4,8,291556.832,7606706.650,-3.505
01/08/2011,11:13:17.00,4,8,291558.051,7606706.783,-3.453
01/08/2011,11:13:18.00,4,8,291559.296,7606706.850,-3.443
01/08/2011,11:13:19.00,4,8,291560.495,7606706.860,-3.416
01/08/2011,11:13:20.00,4,8,291561.687,7606706.768,-3.412
01/08/2011,11:13:21.00,4,8,291562.659,7606706.773,-3.476
